0001|Bạn có khỏe không?
0002|Hôm nay bạn đi đâu vậy?
0003|Anh có chắc chắn về điều đó không?
0004|Ôi trời ơi, sao lại thế này?
0005|Tại sao em lại khóc?
0006|Chuyện gì đã xảy ra với cậu vậy?
0007|Bạn đã ăn cơm chưa?
0008|Trời ơi, đẹp quá!
0009|Cẩn thận, xe đang tới kìa!
0010|Sao anh biết chuyện này?
0011|Ai đã làm vỡ cái ly này?
0012|Khi nào chúng ta khởi hành?
0013|Bạn thích màu gì nhất?
0014|Có ai ở nhà không?
0015|Làm sao để đến được sân bay?
0016|Thật không thể tin được!
0017|Chị ơi, cho em hỏi đường ra chợ?
0018|Bây giờ là mấy giờ rồi?
0019|Con đã làm bài tập chưa?
0020|Sao trời lại mưa to thế này?
0021|Bạn có muốn đi cùng tôi không?
0022|Ồ, hóa ra là anh!
0023|Cậu định đi đâu vào cuối tuần?
0024|Chúng ta còn bao nhiêu thời gian nữa?
0025|Có phải bạn vừa gọi cho tôi không?
0026|Trời lạnh thế này sao không mặc áo ấm?
0027|Ai sẽ chịu trách nhiệm việc này đây?
0028|Cẩn thận kẻo ngã đấy!
0029|Món này ăn có ngon không?
0030|Bạn nghĩ sao về kế hoạch này?
0031|Sao im lặng vậy, có chuyện gì à?
0032|Đường này có đi được không?
0033|Bao giờ thì bạn về quê?
0034|Wow, căn nhà này đẹp thật!
0035|Có phải đây là lần đầu bạn đến đây không?
