0001|Xin chào, rất vui được gặp bạn.
0002|Cảm ơn bạn rất nhiều vì đã giúp đỡ.
0003|Xin lỗi, tôi đến muộn một chút.
0004|Không sao đâu, đừng lo lắng quá.
0005|Bạn có thể nói chậm lại một chút được không?
0006|Làm ơn cho tôi xin một cốc nước.
0007|Chúc bạn một ngày tốt lành.
0008|Hẹn gặp lại bạn vào tuần sau nhé.
0009|Tôi rất tiếc vì chuyện đã xảy ra.
0010|Cảm ơn vì đã lắng nghe tôi.
0011|Bạn cứ tự nhiên như ở nhà nhé.
0012|Tôi cần thêm chút thời gian để suy nghĩ.
0013|Được rồi, để tôi kiểm tra lại.
0014|Bạn đợi tôi một lát nhé.
0015|Rất vui vì cuối cùng cũng gặp được bạn.
0016|Tôi xin phép được ra ngoài một chút.
0017|Cảm ơn vì bữa tối tuyệt vời này.
0018|Chúc mừng sinh nhật bạn nhé!
0019|Tạm biệt, hẹn gặp lại sau.
0020|Tôi nghĩ chúng ta nên bàn lại chuyện này.
0021|Bạn có thể giúp tôi một việc được không?
0022|Tôi hoàn toàn đồng ý với ý kiến của bạn.
0023|Cứ để đó, tôi sẽ xử lý.
0024|Đừng ngại, cứ hỏi tôi bất cứ điều gì.
0025|Tôi rất mong được hợp tác cùng bạn.
0026|Chúc bạn thượng lộ bình an.
0027|Rất hân hạnh được làm quen với bạn.
0028|Mong bạn thông cảm cho sự bất tiện này.
0029|Tôi sẽ liên lạc lại với bạn sau.
0030|Chúc bạn ngủ ngon.
