0001|Cả nhóm cùng nhau dựng lều trại bên bờ suối.
0002|Chúng tôi nhóm lửa trại để nướng khoai và bắp.
0003|Ba lô dã ngoại cần chuẩn bị đầy đủ đồ ăn và nước uống.
0004|Đêm cắm trại trên đồi, chúng tôi ngắm sao suốt cả buổi tối.
0005|Túi ngủ ấm áp giúp tôi ngủ ngon giữa rừng núi lạnh giá.
0006|Chúng tôi mang theo bếp gas mini để nấu ăn dã ngoại.
0007|Cả đoàn cùng chơi trò kéo co trên bãi cỏ rộng.
0008|Đi bộ đường dài giúp rèn luyện sức khỏe rất tốt.
0009|Chiếc võng mắc giữa hai gốc cây rất lý tưởng để nghỉ trưa.
0010|Đội của tôi phụ trách dựng bếp và chuẩn bị bữa trưa.
0011|Chúng tôi băng qua con suối nhỏ để đến khu cắm trại.
0012|Trời tối dần, ánh lửa trại bập bùng sưởi ấm cả nhóm.
0013|Mọi người cùng hát hò quanh đống lửa trại rất vui.
0014|Chúng tôi mang theo đèn pin vì khu rừng không có điện.
0015|Bản đồ và la bàn là vật dụng cần thiết khi đi rừng.
0016|Sáng sớm, sương giăng mờ ảo khắp khu cắm trại.
0017|Cả nhóm cùng thu dọn rác trước khi rời khỏi khu vực cắm trại.
0018|Chúng tôi câu cá bên hồ suốt cả buổi chiều.
0019|Thức ăn được đóng gói kỹ để tránh bị thú rừng lấy mất.
0020|Trò chơi vượt chướng ngại vật khiến ai cũng cười vui vẻ.
0021|Bãi cắm trại này có view nhìn ra thung lũng rất đẹp.
0022|Chúng tôi tập bơi ở con sông gần khu dã ngoại.
0023|Chiếc lều hai lớp giúp chống mưa rất hiệu quả.
0024|Cả nhóm chia nhau nhặt củi khô để nhóm lửa.
0025|Không khí trong lành nơi đây khiến ai cũng thấy dễ chịu.
0026|Chúng tôi ăn tối đơn giản với cơm nắm và trứng luộc.
0027|Đàn ghi ta được mang theo để hát cùng nhau bên lửa trại.
0028|Chúng tôi kiểm tra thời tiết kỹ trước khi lên đường dã ngoại.
0029|Khu vực này cấm đốt lửa vào mùa khô để tránh cháy rừng.
0030|Bọn trẻ rất thích thú khi được ngủ trong lều lần đầu tiên.
0031|Chúng tôi treo thức ăn lên cao để tránh kiến và côn trùng.
0032|Bình minh trên núi mang lại cảm giác thật yên bình.
0033|Cả đoàn men theo con đường mòn để lên đỉnh đồi.
0034|Chúng tôi chuẩn bị thuốc chống côn trùng trước khi vào rừng.
0035|Bữa sáng dã ngoại gồm bánh mì và cà phê pha sẵn.
0036|Nhóm bạn tôi thường tổ chức dã ngoại vào mỗi cuối tuần.
