0001|Hôm nay là ngày hai mươi lăm tháng bảy năm hai nghìn không trăm hai mươi sáu.
0002|Cuộc họp bắt đầu lúc chín giờ ba mươi phút sáng.
0003|Tôi sinh năm một nghìn chín trăm chín mươi lăm.
0004|Chiếc áo này giá ba trăm năm mươi nghìn đồng.
0005|Số điện thoại của tôi là không chín mười hai ba bốn năm sáu bảy tám.
0006|Căn hộ này rộng tám mươi lăm mét vuông.
0007|Chuyến bay khởi hành lúc mười bảy giờ bốn mươi lăm phút.
0008|Anh ấy chạy quãng đường mười ki lô mét mỗi sáng.
0009|Tổng số tiền cần thanh toán là hai triệu bảy trăm nghìn đồng.
0010|Lớp tôi có bốn mươi hai học sinh.
0011|Chai nước này có dung tích năm trăm mililít.
0012|Ngày mai là thứ hai, mùng một tháng tám.
0013|Tôi đã làm việc ở công ty này được bảy năm rồi.
0014|Nhiệt độ hôm nay khoảng ba mươi tư độ C.
0015|Cửa hàng mở cửa từ bảy giờ sáng đến mười giờ tối.
0016|Chiếc xe đó có giá năm trăm triệu đồng.
0017|Con số này tăng gần hai mươi phần trăm so với năm ngoái.
0018|Buổi hòa nhạc sẽ diễn ra vào lúc bảy giờ tối thứ bảy.
0019|Quãng đường từ đây đến đó dài khoảng một trăm hai mươi cây số.
0020|Tôi cần đặt vé cho bốn người lớn và hai trẻ em.
0021|Trận đấu kết thúc với tỷ số ba không nghiêng về đội chủ nhà.
0022|Cô ấy đạt điểm chín phẩy năm trong kỳ thi vừa rồi.
0023|Dự án này dự kiến hoàn thành trong sáu tháng nữa.
0024|Tài khoản của tôi còn lại một triệu hai trăm nghìn đồng.
0025|Chúng tôi đã đi được một nửa chặng đường.
0026|Bữa tiệc sẽ có khoảng năm mươi khách mời.
0027|Chiếc điện thoại mới ra mắt có giá gần hai mươi triệu đồng.
0028|Mỗi tuần tôi tập gym ba buổi, mỗi buổi một tiếng.
0029|Kỳ nghỉ lễ năm nay kéo dài bốn ngày liên tục.
0030|Tòa nhà này cao khoảng năm mươi tầng.
