0001|Đội tuyển Việt Nam vừa giành chiến thắng trong trận đấu tối qua.
0002|Cầu thủ số mười ghi bàn thắng quyết định ở phút bù giờ.
0003|Tôi thường chạy bộ ba mươi phút mỗi sáng để giữ sức khỏe.
0004|Trận chung kết bóng đá năm nay diễn ra vô cùng kịch tính.
0005|Huấn luyện viên yêu cầu cả đội tập trung cao độ hơn nữa.
0006|Vận động viên bơi lội đó vừa phá kỷ lục quốc gia.
0007|Tôi tập gym đều đặn để cải thiện thể lực toàn diện.
0008|Trọng tài đã rút thẻ vàng cảnh cáo cầu thủ phạm lỗi.
0009|Giải bóng rổ nhà nghề thu hút hàng triệu người xem trên toàn thế giới.
0010|Chúng tôi cổ vũ đội nhà nhiệt tình suốt cả trận đấu.
0011|Vận động viên điền kinh chuẩn bị kỹ lưỡng cho kỳ Olympic sắp tới.
0012|Tay vợt này vừa vô địch giải quần vợt quốc tế.
0013|Đội bóng chuyền nữ Việt Nam đang thi đấu rất ấn tượng.
0014|Tôi thích chơi cầu lông vào mỗi buổi chiều cuối tuần.
0015|Vận động viên cử tạ đã nâng thành công mức tạ kỷ lục.
0016|Sân vận động chật kín khán giả trong trận derby năm nay.
0017|Đội tuyển xe đạp Việt Nam vừa hoàn thành chặng đua khó khăn.
0018|Tôi đăng ký tham gia giải chạy marathon vào tháng tới.
0019|Cầu thủ bị chấn thương phải rời sân trong sự tiếc nuối của khán giả.
0020|Môn võ thuật cổ truyền đang được giới trẻ quan tâm trở lại.
0021|Đội bóng đá nữ vừa xuất sắc vào đến vòng bán kết.
0022|Tôi tập yoga mỗi sáng để cơ thể dẻo dai hơn.
0023|Vận động viên leo núi đã chinh phục thành công đỉnh núi cao nhất.
0024|Trận đấu quyền anh tối qua kết thúc bằng một cú knock out ngoạn mục.
0025|Đội tuyển bóng chuyền bãi biển giành huy chương vàng khu vực.
0026|Tôi thường xem highlight bóng đá trước khi đi ngủ.
0027|Cầu thủ trẻ này được kỳ vọng sẽ trở thành ngôi sao tương lai.
0028|Giải marathon thành phố thu hút hàng nghìn người tham gia mỗi năm.
0029|Đội tuyển bắn cung Việt Nam đạt thành tích cao tại đấu trường châu Á.
0030|Tôi rủ bạn bè đá bóng giao hữu vào mỗi cuối tuần.
